lineNumber,turn,year,suggestedYear,country,countryKey,type,targetTonsMax,maxShipyardTons,techTonnageTons,tonnageLimitTons,shipyardRejects,tonnageRejects,techRejects,duplicateRejects,invalidRejects,otherRejects,reason,priority,followUp,window
26422,August_1891,1891,1891,German Empire,germany,CL,3500,12506,3500,3500,0,0,2,1,0,1,mixedRejects,high,"Create or adapt a Germany CL at or below 3.5k tons with 1891-safe tech; two tech rejections, one duplicate, and one other rejection were seen.",1884-1894
26423,August_1891,1891,1891,Spanish Empire,spain,TB,275,8838,275,275,0,0,0,1,0,0,onlyDuplicate,low,"Add a Spain TB variant at or below 275 tons only if we want more replacement variety; coverage exists but duplicates.",1884-1894
27986,October_1891,1891,1891,Russian Empire,russia,TB,300,14350,300,300,0,0,0,1,0,0,onlyDuplicate,low,"Add a Russia TB variant at or below 300 tons only if we want more replacement variety; coverage exists but duplicates.",1884-1894
29567,December_1891,1891,1891,German Empire,germany,TB,300,14756,300,300,0,0,0,1,0,0,onlyDuplicate,low,"Add a Germany TB variant at or below 300 tons only if we want more replacement variety; coverage exists but duplicates.",1884-1894
30382,January_1892,1892,1892,Austro-Hungarian Empire,austria,TB,300,11512,300,300,0,0,1,1,0,0,mixedRejects,medium,"Create or adapt an Austria-Hungary TB at or below 300 tons with 1892-safe tech; existing candidates include tech rejection plus duplicate.",1885-1895
30383,January_1892,1892,1892,Empire of Japan,japan,TB,300,13756,300,300,0,0,0,1,0,0,onlyDuplicate,low,"Add a Japan TB variant at or below 300 tons only if we want more replacement variety; coverage exists but duplicates.",1885-1895
31301,February_1892,1892,1892,British Empire,britain,TB,300,16088,300,300,0,0,0,1,0,0,onlyDuplicate,low,"Add a Britain TB variant at or below 300 tons only if we want more replacement variety; coverage exists but duplicates.",1885-1895
31302,February_1892,1892,1892,German Empire,germany,BB,14756,14756,?,14756,0,0,0,2,0,3,mixedRejects,high,"Create or adapt a Germany BB around 14.8k tons; the blockers are duplicate plus other rejection, so inspect candidate details if this repeats.",1885-1895
31303,February_1892,1892,1892,Italian Empire,italy,TB,300,12273,300,300,0,0,0,1,0,0,onlyDuplicate,low,"Add an Italy TB variant at or below 300 tons only if we want more replacement variety; coverage exists but duplicates.",1885-1895
33072,April_1892,1892,1892,Empire of Japan,japan,BB,13756,13756,?,13756,3,0,0,1,0,0,mixedRejects,high,"Create or adapt a Japan BB at or below 13.8k tons; three candidates were too large for the shipyard and one was duplicate.",1885-1895
34247,May_1892,1892,1892,Austro-Hungarian Empire,austria,BB,12533,12533,?,12533,0,0,1,1,0,1,mixedRejects,high,"Create or adapt an Austria-Hungary BB around 12.5k tons with 1892-safe tech; existing candidates hit tech, duplicate, and other rejection.",1885-1895
34248,May_1892,1892,1892,British Empire,britain,BB,16088,16088,?,16088,2,0,0,1,0,0,mixedRejects,high,"Create or adapt a Britain BB at or below 16.1k tons; two candidates exceeded the current shipyard and one was duplicate.",1885-1895
35215,June_1892,1892,1892,Empire of Japan,japan,CA,4500,13756,4500,4500,0,0,4,2,0,0,mixedRejects,high,"Create or adapt a Japan CA at or below 4.5k tons with 1892-safe tech; four tech rejections and two duplicate rejections were seen.",1885-1895
35216,June_1892,1892,1892,France,france,CA,5000,14919,5000,5000,0,0,1,1,0,0,mixedRejects,high,"Create or adapt a France CA at or below 5.0k tons with 1892-safe tech; existing candidates include tech rejection plus duplicate.",1885-1895
36220,July_1892,1892,1892,British Empire,britain,CA,5000,16088,5000,5000,0,0,2,1,0,0,mixedRejects,high,"Create or adapt a Britain CA at or below 5.0k tons with 1892-safe tech; two tech rejections and one duplicate were seen.",1885-1895
37269,August_1892,1892,1892,Italian Empire,italy,BB,12273,12273,?,12273,2,0,0,1,0,0,mixedRejects,high,"Create or adapt an Italy BB at or below 12.3k tons; two candidates exceeded the current shipyard and one was duplicate.",1885-1895
39109,October_1892,1892,1892,Chinese Empire,china,TB,300,12119,300,300,0,0,0,1,0,0,onlyDuplicate,low,"Add a China TB variant at or below 300 tons only if we want more replacement variety; coverage exists but duplicates.",1885-1895
41065,December_1892,1892,1892,France,france,TB,500,17394,500,500,0,0,0,1,0,0,onlyDuplicate,low,"Add a France TB variant at or below 500 tons only if we want more replacement variety; coverage exists but duplicates.",1885-1895
41066,December_1892,1892,1892,German Empire,germany,TB,300,14756,300,300,0,0,0,1,0,0,onlyDuplicate,low,"Repeated Germany TB duplicate-only gap at or below 300 tons; optional variant work.",1885-1895
41067,December_1892,1892,1892,Italian Empire,italy,CA,5000,12273,5000,5000,0,0,2,1,0,0,mixedRejects,high,"Create or adapt an Italy CA at or below 5.0k tons with 1892-safe tech; two tech rejections and one duplicate were seen.",1885-1895
41068,December_1892,1892,1892,Spanish Empire,spain,TB,300,10019,300,300,0,0,0,1,0,0,onlyDuplicate,low,"Repeated Spain TB duplicate-only gap at or below 300 tons; optional variant work.",1885-1895
43139,February_1893,1893,1893,Empire of Japan,japan,TB,300,13756,300,300,0,0,0,1,0,0,onlyDuplicate,low,"Repeated Japan TB duplicate-only gap at or below 300 tons; optional variant work.",1886-1896
44038,March_1893,1893,1893,Austro-Hungarian Empire,austria,TB,500,12533,500,500,0,0,1,1,0,0,mixedRejects,medium,"Create or adapt an Austria-Hungary TB at or below 500 tons with 1893-safe tech; one tech rejection and one duplicate were seen.",1886-1896
45282,April_1893,1893,1893,Empire of Japan,japan,BB,13756,13756,?,13756,3,0,0,1,0,0,mixedRejects,high,"Repeated Japan BB gap at or below 13.8k tons; three candidates were too large for the shipyard and one was duplicate.",1886-1896
45283,April_1893,1893,1893,German Empire,germany,BB,14756,14756,?,14756,0,0,1,2,0,3,mixedRejects,high,"Repeated Germany BB gap around 14.8k tons; blockers now include tech, duplicate, and other rejection.",1886-1896
46532,May_1893,1893,1893,Austro-Hungarian Empire,austria,BB,12533,12533,?,12533,0,0,1,1,0,1,mixedRejects,high,"Repeated Austria-Hungary BB gap around 12.5k tons with tech, duplicate, and other rejection.",1886-1896
46533,May_1893,1893,1893,British Empire,britain,BB,17016,17016,?,17016,1,0,0,1,0,1,mixedRejects,high,"Create or adapt a Britain BB at or below 17.0k tons; one shipyard, one duplicate, and one other rejection were seen.",1886-1896
46534,May_1893,1893,1893,German Empire,germany,CA,5000,17456,5000,5000,0,0,2,3,0,0,mixedRejects,high,"Create or adapt a Germany CA at or below 5.0k tons with 1893-safe tech; two tech rejections and three duplicate rejections were seen.",1886-1896
46535,May_1893,1893,1893,Italian Empire,italy,TB,300,14973,300,300,0,0,0,1,0,0,onlyDuplicate,low,"Repeated Italy TB duplicate-only gap at or below 300 tons; optional variant work.",1886-1896
47545,June_1893,1893,1893,Russian Empire,russia,TB,500,16825,500,500,0,0,0,1,0,0,onlyDuplicate,low,"Add a Russia TB variant at or below 500 tons only if we want more replacement variety; coverage exists but duplicates.",1886-1896
48877,July_1893,1893,1893,Empire of Japan,japan,CA,5000,13756,5000,5000,0,0,4,2,0,0,mixedRejects,high,"Repeated Japan CA gap now at or below 5.0k tons; four tech rejections and two duplicate rejections were seen.",1886-1896
48878,July_1893,1893,1893,Spanish Empire,spain,BB,12494,12494,?,12494,1,0,5,2,0,0,mixedRejects,high,"Create or adapt a Spain BB at or below 12.5k tons with 1893-safe tech; blockers include shipyard, tech, and duplicate rejection.",1886-1896
49968,August_1893,1893,1893,British Empire,britain,CA,6000,17016,6000,6000,0,0,2,1,0,0,mixedRejects,high,"Create or adapt a Britain CA at or below 6.0k tons with 1893-safe tech; two tech rejections and one duplicate were seen.",1886-1896
49969,August_1893,1893,1893,Italian Empire,italy,BB,14973,14973,?,14973,0,0,0,1,0,2,mixedRejects,high,"Create or adapt an Italy BB at or below 15.0k tons; blockers are duplicate plus other rejection.",1886-1896
51090,September_1893,1893,1893,British Empire,britain,CL,3750,17016,3750,3750,0,0,1,3,0,0,mixedRejects,high,"Create or adapt a Britain CL at or below 3.75k tons with 1893-safe tech; one tech rejection and three duplicate rejections were seen.",1886-1896
53339,November_1893,1893,1893,British Empire,britain,TB,500,17016,500,500,0,0,0,1,0,0,onlyDuplicate,low,"Add a Britain TB variant at or below 500 tons only if we want more replacement variety; coverage exists but duplicates.",1886-1896
53340,November_1893,1893,1893,Russian Empire,russia,BB,16825,16825,?,16825,0,0,0,3,0,3,mixedRejects,high,"Create or adapt a Russia BB at or below 16.8k tons; blockers are duplicate plus other rejection.",1886-1896
2362,August_1898,1898,1898,Britain,britain,CA,12000,29616,12000,12000,0,0,1,2,0,1,mixedRejects,high,"Create or adapt a Britain CA at or below 12.0k tons with 1898-safe tech and a non-duplicate fingerprint; current candidates hit tech, duplicate, and other rejection.",1891-1901
5378,November_1898,1898,1898,Britain,britain,CL,6500,29616,6500,6500,0,0,0,2,0,0,onlyDuplicate,medium,"Add a Britain CL Mk II / variant at or below 6.5k tons; coverage exists but only duplicates the already represented design, and the run later created Dunedin randomly.",1891-1901
5379,November_1898,1898,1898,German Empire,germany,CA,12000,27356,12000,12000,0,0,0,2,0,1,mixedRejects,high,"Create or adapt a Germany CA at or below 12.0k tons; current candidates hit duplicate and other rejection, so inspect candidate details if this repeats.",1891-1901
8381,February_1899,1899,1899,Chinese Empire,china,DD,850,28319,850,850,0,0,1,0,0,0,onlyTechBlocked,high,"Create or downgrade a China DD at or below 850 tons with 1899-safe gun/mechanism tech; the random fallback produced Kangzhuang at 845.1t.",1892-1902
8382,February_1899,1899,1899,Empire of Japan,japan,DD,850,26581,850,850,0,0,2,0,0,0,onlyTechBlocked,high,"Create or downgrade a Japan DD at or below 850 tons with 1899-safe gun/mechanism tech; the random fallback produced Hagikaze at 809.2t.",1892-1902
8383,February_1899,1899,1899,France,france,DD,850,30669,850,850,0,0,1,0,0,0,onlyTechBlocked,high,"Create or downgrade a France DD at or below 850 tons with 1899-safe gun/mechanism tech; February shared rejection was followed by a failed dd_1_france random attempt.",1892-1902
8384,February_1899,1899,1899,German Empire,germany,DD,850,31181,850,850,0,0,1,0,0,1,mixedRejects,high,"Create or downgrade a Germany DD at or below 850 tons with 1899-safe tech; inspect the other rejection if it repeats. Random fallback produced V-1 at 820.9t.",1892-1902
8385,February_1899,1899,1899,Italian Empire,italy,DD,850,28473,850,850,0,0,2,0,0,0,onlyTechBlocked,high,"Create or downgrade an Italy DD at or below 850 tons with 1899-safe gun/mechanism tech; random fallback produced Granatiere at 817.1t.",1892-1902
9532,March_1899,1899,1899,Britain,britain,DD,850,33441,850,850,0,0,1,0,0,0,onlyTechBlocked,high,"Create or downgrade a Britain DD at or below 850 tons with 1899-safe gun/mechanism tech; random fallback produced Vanquisher at 824.1t.",1892-1902
9533,March_1899,1899,1899,Italian Empire,italy,CL,6500,28473,6500,6500,0,0,0,1,0,0,onlyDuplicate,medium,"Add an Italy CL Mk II / variant at or below 6.5k tons; coverage exists but only duplicates the already represented design, and the run later created Giussano randomly.",1892-1902
10573,April_1899,1899,1899,Austro-Hungarian Empire,austria,DD,850,28733,850,850,0,0,2,0,0,0,onlyTechBlocked,high,"Create or downgrade an Austria-Hungary DD at or below 850 tons; prefer a lighter 1899-safe variant because one logged candidate was 897.7t and random generation hit dd_1_austria weight failures before Tatra succeeded.",1892-1902
10574,April_1899,1899,1899,France,france,DD,850,30669,850,850,0,0,1,0,0,0,onlyTechBlocked,high,"Repeated France DD gap at or below 850 tons with 1899-safe gun/mechanism tech; April random fallback produced Bisson at 841.2t.",1892-1902
11966,May_1899,1899,1899,German Empire,germany,CL,6500,31181,6500,6500,0,0,1,2,0,0,mixedRejects,high,"Create or downgrade a Germany CL at or below 6.5k tons with 1899-safe tech and a non-duplicate variant; random fallback produced Pillau at 2410.3t.",1892-1902
11967,May_1899,1899,1899,Soviet Union,russia,DD,850,33475,850,850,0,0,1,0,0,0,onlyTechBlocked,high,"Create or downgrade a Russia/Soviet DD at or below 850 tons with 1899-safe gun/mechanism tech; random fallback produced Zante at 693.5t.",1892-1902
11968,May_1899,1899,1899,Spanish Empire,spain,DD,850,27316,850,850,0,0,1,0,0,0,onlyTechBlocked,high,"Create or downgrade a Spain DD at or below 850 tons with 1899-safe gun/mechanism tech; random fallback produced Aguila at 762.9t.",1892-1902
18847,November_1899,1899,1899,Britain,britain,CL,6500,33441,6500,6500,0,0,1,1,0,0,mixedRejects,high,"Create or downgrade a Britain CL at or below 6.5k tons with 1899-safe tech and a non-duplicate variant; random fallback produced Cassandra at 4774.3t.",1892-1902
18848,November_1899,1899,1899,Chinese Empire,china,CL,6500,32369,6500,6500,0,0,1,1,0,0,mixedRejects,high,"Create or downgrade a China CL at or below 6.5k tons with 1899-safe tech and a non-duplicate variant; random fallback produced Tieling at 5898.4t.",1892-1902
23623,March_1900,1900,1900,Austro-Hungarian Empire,austria,CL,6500,32783,6500,6500,0,0,0,1,0,0,onlyDuplicate,medium,"Add an Austria-Hungary CL Mk II / variant at or below 6.5k tons; shared candidate coverage exists but duplicated the already represented design, and random fallback produced Schwechat at 6580t.",1893-1903
23624,March_1900,1900,1900,Britain,britain,DD,850,37491,850,850,0,0,1,0,0,0,onlyTechBlocked,high,"Create or downgrade a Britain DD at or below 850 tons with 1900-safe gun/mechanism tech; random fallback produced Thanet at 745.7t.",1893-1903
24770,April_1900,1900,1900,Empire of Japan,japan,DD,850,30406,850,850,0,0,3,0,0,0,onlyTechBlocked,high,"Create or downgrade a Japan DD at or below 850 tons with 1900-safe gun/mechanism tech; random fallback produced Susuki at 780.6t.",1893-1903
24771,April_1900,1900,1900,France,france,DD,850,34719,850,850,0,0,2,0,0,0,onlyTechBlocked,high,"Create or downgrade a France DD at or below 850 tons with 1900-safe gun/mechanism tech; random fallback produced Fantassin at 756.7t.",1893-1903
24772,April_1900,1900,1900,Spanish Empire,spain,CL,6500,31366,6500,6500,0,0,2,1,0,0,mixedRejects,high,"Create or downgrade a Spain CL at or below 6.5k tons with 1900-safe tech and a non-duplicate variant; random fallback produced Aragon at 6146.7t.",1893-1903
26096,May_1900,1900,1900,Chinese Empire,china,DD,850,32369,850,850,0,0,2,0,0,0,onlyTechBlocked,high,"Create or downgrade a China DD at or below 850 tons with 1900-safe gun/mechanism tech; random fallback produced Jinyu at 752.1t.",1893-1903
26097,May_1900,1900,1900,German Empire,germany,CL,6500,35231,6500,6500,0,0,2,1,0,0,mixedRejects,high,"Create or downgrade a Germany CL at or below 6.5k tons with 1900-safe tech and a non-duplicate variant; random fallback produced Sperber at 5704.4t.",1893-1903
26098,May_1900,1900,1900,Italian Empire,italy,CL,6500,32523,6500,6500,0,0,0,1,0,0,onlyDuplicate,medium,"Add an Italy CL Mk II / variant at or below 6.5k tons; shared candidate coverage duplicated the already represented design, and random fallback produced Giuseppe Garibaldi at 3283.7t.",1893-1903
26099,May_1900,1900,1900,Soviet Union,russia,CL,6500,33475,6500,6500,0,0,1,2,0,0,mixedRejects,high,"Create or downgrade a Russia/Soviet CL at or below 6.5k tons with 1900-safe tech and a non-duplicate variant; random fallback produced Kuban at 6452.3t.",1893-1903
27293,June_1900,1900,1900,German Empire,germany,DD,850,35231,850,850,0,0,2,0,0,1,mixedRejects,high,"Create or downgrade a Germany DD at or below 850 tons with 1900-safe gun/mechanism tech and already-unlocked hull/funnel/torpedo parts; repeated V-1 candidates hit gun_mech_35 while V-2 hit unlock/part blocks.",1893-1903
28502,July_1900,1900,1900,Spanish Empire,spain,DD,850,31366,850,850,0,0,1,0,0,0,onlyTechBlocked,high,"Create or downgrade a Spain DD at or below 850 tons with 1900-safe gun/mechanism tech; random fallback produced Almirante Ferrandiz at 625.9t.",1893-1903
30997,September_1900,1900,1900,German Empire,germany,DD,850,35231,850,850,0,0,2,0,0,1,mixedRejects,high,"Repeated Germany DD gap at or below 850 tons; V-1 variants still hit gun_mech_35 and V-2 still hit unlock/part blocks.",1893-1903
32267,October_1900,1900,1900,German Empire,germany,DD,850,35231,850,850,0,0,2,0,0,1,mixedRejects,high,"Repeated Germany DD gap at or below 850 tons; random fallback finally produced V-8 at 812.2t after the same V-1 gun_mech_35 and V-2 unlock/part blocks.",1893-1903
33491,November_1900,1900,1900,Soviet Union,russia,DD,850,37750,850,850,0,0,1,0,0,0,onlyTechBlocked,high,"Create or downgrade a Russia/Soviet DD at or below 850 tons with 1900-safe gun/mechanism tech; random fallback produced Statnyi at 840.7t.",1893-1903
2690,January_1901,1901,1901,Austro-Hungarian Empire,austria,CL,6500,32783,6500,6500,0,0,1,0,0,0,onlyTechBlocked,high,"Create or downgrade an Austria-Hungary CL at or below 6.5k tons with 1901-safe hull/gun/engine tech; gun_mech_35 was pruned successfully, but Korneuburg still needs 1902-1904 tech and is 8032.4t.",1894-1904
6521,April_1901,1901,1901,Chinese Empire,china,CL,6500,36644,6500,6500,0,0,2,0,0,0,onlyTechBlocked,high,"Create or downgrade a China CL at or below 6.5k tons with 1901-safe hull/gun/projectile tech; gun_mech_35 was pruned successfully, but Cangzhou/Zhoushan still need 1902-1903 tech.",1894-1904
6522,April_1901,1901,1901,German Empire,germany,TB,800,35231,800,800,0,0,0,1,0,0,onlyDuplicate,medium,"Add a Germany TB variant at or below 800 tons; S-2 exists but was duplicate-skipped.",1894-1904
6523,April_1901,1901,1901,Soviet Union,russia,CA,12500,37750,12500,12500,0,0,0,2,0,1,mixedRejects,high,"Add a Russia/Soviet CA variant at or below 12.5k tons; Bayan/Derbent duplicated existing coverage and Severnaya Zvezda was obsolete, so random fallback produced Amerika at 9243.8t.",1894-1904
6524,April_1901,1901,1901,Spanish Empire,spain,CL,6500,31366,6500,6500,0,0,2,0,0,0,onlyTechBlocked,high,"Create or downgrade a Spain CL at or below 6.5k tons with 1901-safe hull/gun/projectile tech; gun_mech_35 was pruned successfully, but Berenguela/Libertad still need 1902-1903 tech.",1894-1904
7898,May_1901,1901,1901,France,france,CL,6500,38994,6500,6500,0,0,1,1,0,0,mixedRejects,high,"Create or downgrade a France CL at or below 6.5k tons with 1901-safe hull/gun/projectile tech and a non-duplicate fingerprint; Isly still needs 1902-1903 tech while Duguay-Trouin duplicated existing coverage.",1894-1904
7899,May_1901,1901,1901,German Empire,germany,CL,6500,35231,6500,6500,0,0,2,0,0,0,onlyTechBlocked,high,"Create or downgrade a Germany CL at or below 6.5k tons with 1901-safe hull/gun/projectile tech; Berlin/Amazone still need 1902-1903 tech after gun-length tech pruning.",1894-1904
7900,May_1901,1901,1901,Soviet Union,russia,CL,6500,37750,6500,6500,0,0,1,1,0,0,mixedRejects,high,"Create or downgrade a Russia/Soviet CL at or below 6.5k tons with 1901-safe hull/gun/projectile tech and a non-duplicate fingerprint; Rion still needs 1902 tech while Bogatyr duplicated existing coverage.",1894-1904
9106,June_1901,1901,1901,Chinese Empire,china,TB,800,36644,800,800,0,0,0,1,0,0,onlyDuplicate,medium,"Add a China TB variant at or below 800 tons; Y-1 exists but was duplicate-skipped.",1894-1904
10283,July_1901,1901,1901,Italian Empire,italy,CL,6500,36798,6500,6500,0,0,1,0,0,0,onlyTechBlocked,high,"Create or downgrade an Italy CL at or below 6.5k tons with 1901-safe hull/gun/engine/projectile tech; Calabria still needs 1902-1904 tech and is 8032.4t.",1894-1904
